date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:07	1002/1002	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:10:33%20GMT	https://p.w3layouts.com/robots.txt		(from )
15:40:09	5870/5870	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:10:34%20GMT	https://p.w3layouts.com/demos/reset_password_form/web/	D:/resetjp/p.w3layouts.com/demos/reset_password_form/web/index.html	(from )
15:40:10	4979/4979	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:42%20GMT	https://p.w3layouts.com/demos/reset_password_form/web/css/style.css	D:/resetjp/p.w3layouts.com/demos/reset_password_form/web/css/style.css	(from https://p.w3layouts.com/demos/reset_password_form/web/)
15:40:12	57357/57357	---MCZ	200	added ('OK')	application/javascript	etag:W/%222810cf92cd9eee12826688f59e132e86%22	http://m.servedby-buysellads.com/monetization.js	D:/resetjp/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos/reset_password_form/web/)
15:40:13	1664/1664	---MCZ	200	added ('OK')	text/javascript	etag:W/%229557e28040ae185369d4e8f1a79858d0%22	https://codefund.io/properties/441/funder.js	D:/resetjp/codefund.io/properties/441/funder.js	(from https://p.w3layouts.com/demos/reset_password_form/web/)
15:40:14	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	D:/resetjp/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demos/reset_password_form/web/)
15:40:14	24793/24793	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2008%20Oct%202019%2013:27:18%20GMT	https://p.w3layouts.com/js/autotrack.js	D:/resetjp/p.w3layouts.com/js/autotrack.js	(from https://p.w3layouts.com/demos/reset_password_form/web/)
15:40:14	3159/3159	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Dec%202019%2014:18:46%20GMT	https://p.w3layouts.com/images/demobar_w3_4thDec2019.css	D:/resetjp/p.w3layouts.com/images/demobar_w3_4thDec2019.css	(from https://p.w3layouts.com/demos/reset_password_form/web/)
15:40:15	2529/2529	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:10:40%20GMT	https://p.w3layouts.com/images/W3Layouts-light.png	D:/resetjp/p.w3layouts.com/images/W3Layouts-light.html	(from https://p.w3layouts.com/images/demobar_w3_4thDec2019.css)
15:40:15	2529/2529	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:10:41%20GMT	https://p.w3layouts.com/assets/css/fonts/linecons/css/linecons.css	D:/resetjp/p.w3layouts.com/assets/css/fonts/linecons/css/linecons.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
15:40:16	2529/2529	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:10:41%20GMT	https://p.w3layouts.com/assets/css/fonts/fontawesome/css/font-awesome.min.css	D:/resetjp/p.w3layouts.com/assets/css/fonts/fontawesome/css/font-awesome.min.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
15:40:16	2529/2529	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:10:42%20GMT	https://p.w3layouts.com/assets/css/bootstrap.css	D:/resetjp/p.w3layouts.com/assets/css/bootstrap.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
15:40:17	2529/2529	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:10:42%20GMT	https://p.w3layouts.com/assets/css/xenon-core.css	D:/resetjp/p.w3layouts.com/assets/css/xenon-core.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
15:40:17	2529/2529	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:10:43%20GMT	https://p.w3layouts.com/assets/css/xenon-forms.css	D:/resetjp/p.w3layouts.com/assets/css/xenon-forms.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
15:40:18	2529/2529	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:10:43%20GMT	https://p.w3layouts.com/assets/css/xenon-components.css	D:/resetjp/p.w3layouts.com/assets/css/xenon-components.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
15:40:18	2529/2529	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:10:44%20GMT	https://p.w3layouts.com/assets/css/xenon-skins.css	D:/resetjp/p.w3layouts.com/assets/css/xenon-skins.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
15:40:19	2529/2529	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:10:44%20GMT	https://p.w3layouts.com/assets/css/custom.css	D:/resetjp/p.w3layouts.com/assets/css/custom.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
